DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
"sim3-fs-[1,2]-[0]",0,1.0,[8.34672933e-01 2.50516084e-20 3.55644433e-20],1.0,[1.70441595e-04 4.65722653e-01 1.54292263e-01],5000,3,100,200,0.08070319009339497,0.16366429361780657
"sim3-fs-[1,2]-[0]",1,1.0,[9.87951018e-01 1.33738382e-25 8.04598116e-21],0.3333333333333333,[0.03713132 0.19408764 0.61129488],5000,3,50,500,0.07035140345464518,1.434897511355653
"sim3-fs-[1,2]-[0]",2,1.0,[2.10856462e-01 3.60351586e-16 7.79546652e-26],1.0,[6.61222160e-08 9.12691017e-01 7.87143778e-01],5000,3,100,200,0.06819125942895417,0.13698784960108712
"sim3-fs-[1,2]-[0]",3,1.0,[9.12026381e-01 1.64109487e-20 3.59202333e-16],0.3333333333333333,[0.00378701 0.83577333 0.56980378],5000,3,100,200,0.06670443799513878,0.5087443830915114
"sim3-fs-[1,2]-[0]",4,1.0,[9.33570378e-01 4.83963216e-16 5.64283743e-19],1.0,[2.08438019e-05 2.43076229e-01 7.79402527e-01],5000,3,50,500,0.08400661246199392,1.220248913490442
"sim3-fs-[1,2]-[0]",5,1.0,[8.54715653e-01 2.99237039e-19 3.57324871e-19],1.0,[4.25457047e-04 3.50335667e-01 7.06343705e-01],5000,3,100,100,0.06750291831898425,0.0687594911702934
"sim3-fs-[1,2]-[0]",6,1.0,[8.72001906e-01 1.36983154e-14 1.60506449e-18],0.3333333333333333,[0.0295424  0.02488095 0.96866815],5000,3,50,500,0.0706441623297268,1.5085781650757542
"sim3-fs-[1,2]-[0]",7,1.0,[9.88358586e-01 2.35889649e-25 3.71853773e-22],1.0,[2.11732503e-10 9.23208102e-01 1.33422792e-01],5000,3,50,200,0.08720856874571674,0.08810297027537983
"sim3-fs-[1,2]-[0]",8,1.0,[8.26812486e-01 1.15354006e-22 1.07584988e-20],1.0,[1.40877012e-07 9.29737798e-01 9.27639154e-01],5000,3,50,200,0.060961685205711776,0.06869948528363763
"sim3-fs-[1,2]-[0]",9,1.0,[9.40863811e-01 1.31083252e-23 3.77886664e-17],1.0,[5.10030934e-06 9.01908552e-01 9.30301858e-01],5000,3,100,200,0.094527337817322,0.2201403473333799
"sim3-fs-[1,2]-[0]",10,1.0,[8.67942560e-01 1.06924038e-20 2.87532873e-25],0.3333333333333333,[0.04471016 0.58879992 0.30670774],5000,3,50,500,0.09039240579262026,1.3508760474143267
"sim3-fs-[1,2]-[0]",11,1.0,[6.08051876e-01 2.22437982e-18 6.54134188e-21],0.3333333333333333,[0.00373366 0.70901164 0.77249309],5000,3,50,100,0.06910551493900569,0.20076976177430805
"sim3-fs-[1,2]-[0]",12,1.0,[8.88636699e-01 1.84410709e-23 1.75717655e-22],1.0,[3.00747556e-04 9.11844334e-01 7.05793370e-01],5000,3,50,500,0.05641102715951106,1.0545926527065892
"sim3-fs-[1,2]-[0]",13,1.0,[9.86396518e-01 4.27500688e-17 3.35190438e-13],1.0,[6.97976689e-07 9.60143586e-01 9.37805607e-01],5000,3,100,500,0.11396592904695795,1.2016934830800472
"sim3-fs-[1,2]-[0]",14,1.0,[3.61681053e-01 5.65158903e-20 5.74312429e-15],1.0,[2.81934965e-11 9.99998576e-01 9.99994385e-01],5000,3,50,100,0.06937963945794541,0.1159486729332588
"sim3-fs-[1,2]-[0]",15,1.0,[9.61727110e-01 4.14614157e-18 1.47007102e-19],1.0,[6.02726181e-08 4.20577283e-01 8.64340456e-01],5000,3,50,500,0.05331802925431857,0.9947609675901665
"sim3-fs-[1,2]-[0]",16,1.0,[2.38837120e-01 2.27860799e-20 1.11371384e-21],1.0,[5.43238417e-05 7.91694412e-01 2.05294741e-01],5000,3,50,500,0.06615479325024373,1.1181616703754311
"sim3-fs-[1,2]-[0]",17,1.0,[7.44272519e-01 2.30482698e-22 3.34177348e-18],1.0,[3.31198478e-06 4.18112787e-02 6.08224662e-01],5000,3,50,200,0.06776571969524503,0.19484562528654864
"sim3-fs-[1,2]-[0]",18,1.0,[9.37876643e-01 6.59475464e-17 6.57461916e-20],1.0,[1.39350039e-05 3.20827735e-01 9.87988716e-01],5000,3,100,200,0.06184744117890843,0.10248330707008281
"sim3-fs-[1,2]-[0]",19,1.0,[7.89428773e-01 8.27957793e-26 2.54560218e-20],1.0,[1.03086225e-05 6.00313736e-01 2.53922098e-01],5000,3,50,100,0.054719819936205207,0.11055474272365909
"sim3-fs-[1,2]-[0]",20,1.0,[9.77802762e-01 5.04709481e-19 1.49690363e-17],1.0,[2.01798759e-05 9.80473263e-01 9.89238313e-01],5000,3,100,200,0.08018487779460111,0.07235160822770392
"sim3-fs-[1,2]-[0]",21,1.0,[8.86532409e-01 6.63970692e-15 2.41835148e-26],1.0,[1.93649675e-06 3.13998521e-01 7.96542548e-01],5000,3,100,1000,0.061485507196452634,2.6665983722672175
"sim3-fs-[1,2]-[0]",22,1.0,[8.49382238e-01 4.81550189e-19 3.26513179e-21],1.0,[5.42568862e-06 9.63531695e-01 9.98246242e-01],5000,3,100,200,0.09948373572970652,0.3682397463243174
"sim3-fs-[1,2]-[0]",23,1.0,[5.36640539e-01 7.37314226e-18 5.30180703e-27],0.3333333333333333,[0.00942663 0.24854674 0.54353001],5000,3,100,50,0.09794229362997209,0.4147629933713447
"sim3-fs-[1,2]-[0]",24,1.0,[3.49681482e-02 5.07418732e-26 3.61848336e-20],1.0,[6.09089672e-07 9.98595201e-01 9.99992183e-01],5000,3,50,200,0.08729353753743808,0.1388193236399443
"sim3-fs-[1,2]-[0]",25,1.0,[8.08089674e-01 1.28875057e-17 1.34775243e-18],1.0,[1.66549780e-06 9.89422842e-01 5.99749969e-01],5000,3,50,500,0.06442378120696185,1.1764696276117586
"sim3-fs-[1,2]-[0]",26,1.0,[9.98236766e-01 4.07513510e-25 4.93229846e-25],1.0,[5.92560065e-05 3.54723714e-01 8.74253452e-01],5000,3,50,100,0.07403866831885492,0.28949359988457796
"sim3-fs-[1,2]-[0]",27,1.0,[9.51629780e-01 1.47150515e-18 2.24440086e-24],1.0,[1.54222645e-06 7.09717193e-01 8.52989047e-01],5000,3,50,200,0.0736461204897392,0.19674884615049404
"sim3-fs-[1,2]-[0]",28,1.0,[3.25254303e-01 1.36208947e-21 2.24186437e-15],1.0,[9.57884425e-08 5.28390599e-01 7.72025274e-01],5000,3,50,100,0.07873705704103472,0.08499751960087956
"sim3-fs-[1,2]-[0]",29,1.0,[6.15774059e-01 9.48948705e-22 1.02803903e-22],1.0,[9.05374758e-09 9.79332506e-01 9.68530036e-01],5000,3,50,500,0.06851482518537166,0.9773096143742983
"sim3-fs-[1,2]-[0]",30,1.0,[8.57939971e-01 2.33341996e-21 1.07766972e-13],0.3333333333333333,[0.01017913 0.91550166 0.93910875],5000,3,50,500,0.08595586844689089,1.5553314405145096
"sim3-fs-[1,2]-[0]",31,1.0,[9.92280741e-01 1.55924172e-17 1.87734359e-20],1.0,[7.08275696e-05 9.05616030e-01 6.65380692e-01],5000,3,100,200,0.10889627702632657,0.16839666921779003
"sim3-fs-[1,2]-[0]",32,1.0,[9.69483648e-01 5.39954310e-22 1.48724835e-23],0.3333333333333333,[0.01779805 0.5219825  0.9973547 ],5000,3,50,200,0.08398628609286302,0.6356321763087713
"sim3-fs-[1,2]-[0]",33,1.0,[1.42224357e-01 9.75471870e-16 3.43802247e-20],1.0,[5.57627733e-07 9.93772218e-01 9.85879668e-01],5000,3,50,100,0.0995236134499135,0.2327783419826774
