DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
med1-no-fs-[0:3]-[],0,0.8,,0.0,,5000,5,20,100,0.3116115028891419,0.21334902520892232
med1-no-fs-[0:3]-[],1,0.8,,0.0,,5000,5,10,500,0.3019212766125581,0.08087316778370028
med1-no-fs-[0:3]-[],2,0.8,,0.0,,5000,5,20,500,0.3367547535115592,0.10390769568404039
med1-no-fs-[0:3]-[],3,0.8,,0.0,,5000,5,20,200,0.2906477419331782,0.17255155668357497
med1-no-fs-[0:3]-[],4,0.8,,0.0,,5000,5,10,500,0.34217405687657027,0.23371155063601518
med1-no-fs-[0:3]-[],5,0.8,,0.0,,5000,5,20,100,0.3112696297397455,0.10086765541306188
med1-no-fs-[0:3]-[],6,0.8,,0.0,,5000,5,20,200,0.28506345658783183,0.036723845550749035
med1-no-fs-[0:3]-[],7,0.8,,0.0,,5000,5,20,500,0.276457845452029,0.07300149836602011
med1-no-fs-[0:3]-[],8,0.8,,0.0,,5000,5,10,200,0.38312734342031207,0.12127216974924576
med1-no-fs-[0:3]-[],9,0.8,,0.0,,5000,5,10,500,0.32422186461525887,0.12004074429277183
med1-no-fs-[0:3]-[],10,0.8,,0.0,,5000,5,20,500,0.31444269509142175,0.04302057762963228
med1-no-fs-[0:3]-[],11,0.8,,0.0,,5000,5,20,200,0.280331934806649,0.03937199650303052
med1-no-fs-[0:3]-[],12,0.8,,0.0,,5000,5,20,500,0.30710750191719316,0.09820029834095549
med1-no-fs-[0:3]-[],13,0.8,,0.0,,5000,5,10,200,0.33522018668483095,0.1340311218639682
med1-no-fs-[0:3]-[],14,0.8,,0.0,,5000,5,20,200,0.3262634123761857,0.0618502816454749
med1-no-fs-[0:3]-[],15,0.8,,0.0,,5000,5,20,100,0.30571172966051435,0.07941962104904332
med1-no-fs-[0:3]-[],16,0.8,,0.0,,5000,5,10,500,0.3364306719066441,0.06191732789969979
med1-no-fs-[0:3]-[],17,0.8,,0.0,,5000,5,20,500,0.3647177665324781,0.11516347358232874
med1-no-fs-[0:3]-[],18,0.8,,0.0,,5000,5,10,500,0.3034230516344496,0.12324907240215462
med1-no-fs-[0:3]-[],19,0.8,,0.0,,5000,5,10,500,0.32992167844401254,0.10421338802566213
med1-no-fs-[0:3]-[],20,0.8,,0.0,,5000,5,20,500,0.28903650398772085,0.08092908931152874
med1-no-fs-[0:3]-[],21,0.8,,0.0,,5000,5,20,200,0.3354255288757652,0.08020705850672566
med1-no-fs-[0:3]-[],22,0.8,,0.0,,5000,5,20,500,0.3089021064316903,0.1935516341727373
med1-no-fs-[0:3]-[],23,0.8,,0.0,,5000,5,20,200,0.3174229634634028,0.06984143564764328
med1-no-fs-[0:3]-[],24,0.8,,0.0,,5000,5,10,500,0.34636936387507494,0.030246831667157505
med1-no-fs-[0:3]-[],25,0.8,,0.0,,5000,5,10,100,0.3154242969614932,0.06733291455925079
med1-no-fs-[0:3]-[],26,0.8,,0.0,,5000,5,20,50,0.35036437733174636,0.17489862012203436
med1-no-fs-[0:3]-[],27,0.8,,0.0,,5000,5,10,100,0.3004724850034457,0.054321197947726274
med1-no-fs-[0:3]-[],28,0.8,,0.0,,5000,5,10,500,0.30255287513604234,0.06413542829274627
med1-no-fs-[0:3]-[],29,0.8,,0.0,,5000,5,20,500,0.30641502336242454,0.03869479252362338
med1-no-fs-[0:3]-[],30,0.8,,0.0,,5000,5,20,200,0.3437663343347409,0.09816697093763121
med1-no-fs-[0:3]-[],31,0.8,,0.0,,5000,5,20,200,0.3204925750434476,0.09145538564773976
med1-no-fs-[0:3]-[],32,0.8,,0.0,,5000,5,20,500,0.3032817674889147,0.08790451193364822
med1-no-fs-[0:3]-[],33,0.8,,0.0,,5000,5,20,500,0.32206672082829463,0.06706910602482999
med1-no-fs-[0:3]-[],34,0.8,,0.0,,5000,5,20,500,0.34485485312081504,0.06810430405912515
med1-no-fs-[0:3]-[],35,0.8,,0.0,,5000,5,10,500,0.3177015562103835,0.08169821591884915
med1-no-fs-[0:3]-[],36,0.8,,0.0,,5000,5,10,200,0.32310433958023765,0.11000781909336756
med1-no-fs-[0:3]-[],37,0.8,,0.0,,5000,5,20,100,0.2765370017045502,0.06158980674585305
med1-no-fs-[0:3]-[],38,0.8,,0.0,,5000,5,10,500,0.32789174048505004,0.048176238587304625
med1-no-fs-[0:3]-[],39,0.8,,0.0,,5000,5,10,200,0.28940463977068354,0.0750623439916792
med1-no-fs-[0:3]-[],40,0.8,,0.0,,5000,5,10,500,0.28508838803524283,0.16485223776978228
med1-no-fs-[0:3]-[],41,0.8,,0.0,,5000,5,10,200,0.30310402648828083,0.08076516417601079
med1-no-fs-[0:3]-[],42,0.8,,0.0,,5000,5,20,500,0.33447034684583377,0.10978277674530222
med1-no-fs-[0:3]-[],43,0.8,,0.0,,5000,5,20,100,0.2959542354901758,0.09083850580595124
med1-no-fs-[0:3]-[],44,0.8,,0.0,,5000,5,20,500,0.32452053046689944,0.07031711021999636
med1-no-fs-[0:3]-[],45,0.8,,0.0,,5000,5,10,1000,0.2999023621669221,0.00950130765088239
med1-no-fs-[0:3]-[],46,0.8,,0.0,,5000,5,10,500,0.33057887416903625,0.0693779536911167
med1-no-fs-[0:3]-[],47,0.8,,0.0,,5000,5,10,200,0.314324117578962,0.08943900248587333
med1-no-fs-[0:3]-[],48,0.8,,0.0,,5000,5,10,500,0.3225441485773072,0.0830910239183767
med1-no-fs-[0:3]-[],49,0.8,,0.0,,5000,5,20,500,0.2946226723502696,0.12237852810580532
med1-no-fs-[0:3]-[],50,0.8,,0.0,,5000,5,20,200,0.3676646427463561,0.08220362408136903
med1-no-fs-[0:3]-[],51,0.8,,0.0,,5000,5,20,100,0.2764494548187427,0.0546277398058864
med1-no-fs-[0:3]-[],52,0.8,,0.0,,5000,5,10,1000,0.31513715603827575,0.010720400720416415
med1-no-fs-[0:3]-[],53,0.8,,0.0,,5000,5,10,500,0.3025877404683388,0.07832000300324037
med1-no-fs-[0:3]-[],54,0.8,,0.0,,5000,5,20,200,0.2781590541912098,0.02797989978864122
med1-no-fs-[0:3]-[],55,0.8,,0.0,,5000,5,20,500,0.3300832588898801,0.09129476618837684
med1-no-fs-[0:3]-[],56,0.8,,0.0,,5000,5,20,200,0.30517814066005045,0.04354921489732559
med1-no-fs-[0:3]-[],57,0.8,,0.0,,5000,5,10,500,0.3649086328413575,0.11704108606369468
med1-no-fs-[0:3]-[],58,0.8,,0.0,,5000,5,10,200,0.3080547007993179,0.15150465437893376
med1-no-fs-[0:3]-[],59,0.8,,0.0,,5000,5,10,500,0.2834220295428128,0.06845446383454634
med1-no-fs-[0:3]-[],60,0.8,,0.0,,5000,5,20,500,0.3031937932358759,0.1362167518027193
med1-no-fs-[0:3]-[],61,0.8,,0.0,,5000,5,20,500,0.2945529821655797,0.06112254799435709
