DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
lar3-fs-[0:5]-[7:9],0,0.8333333333333334,"[1.45055926e-86 2.98430736e-69 2.71974082e-74 5.75492446e-76
 1.79358101e-95 9.99845568e-01 9.93850026e-01 9.99782683e-01
 9.99568382e-01 9.99999803e-01]",0.6666666666666666,"[1.85156009e-01 3.81154224e-01 4.22041634e-01 5.28402016e-01
 5.67436492e-02 1.83612351e-01 3.33627292e-01 5.55161230e-08
 4.44548525e-06 9.78451050e-01]",50000,10,50,1000,0.25528205502467866,0.2996368769494449
lar3-fs-[0:5]-[7:9],1,0.8333333333333334,"[1.43976202e-69 2.79592143e-77 3.72746832e-73 1.76882603e-77
 5.87369892e-72 9.96820637e-01 9.98341309e-01 9.95524616e-01
 9.75789836e-01 9.93354676e-01]",0.6666666666666666,"[1.52282561e-01 7.59222273e-01 9.60125832e-01 9.75629215e-01
 9.55185297e-01 9.98940899e-01 9.58219594e-01 8.99533942e-18
 3.67766508e-14 9.99999818e-01]",50000,10,50,1000,0.24557033219055854,0.220365077333488
lar3-fs-[0:5]-[7:9],2,0.8333333333333334,"[4.80798388e-66 1.62879653e-68 8.83147052e-80 1.35022307e-74
 2.02837904e-61 9.96953880e-01 9.91628920e-01 9.45244061e-01
 9.99441987e-01 9.99723706e-01]",0.6666666666666666,"[9.38648649e-02 4.28956560e-01 5.54282946e-01 6.06501491e-01
 8.77904018e-01 1.30583167e-01 6.74260668e-01 8.71291467e-11
 2.22429557e-13 7.28595470e-01]",50000,10,50,1000,0.25916021127841987,0.39618699087068177
lar3-fs-[0:5]-[7:9],3,0.8333333333333334,"[1.77046583e-71 9.74308149e-72 1.78999684e-79 3.40539837e-63
 1.12166072e-79 9.88108738e-01 9.56215875e-01 9.93359719e-01
 9.87585222e-01 9.84916036e-01]",0.6666666666666666,"[4.91487310e-01 6.88597628e-01 4.65263845e-01 5.38896245e-01
 4.33650487e-01 6.54232457e-01 8.41652505e-01 2.06084606e-09
 2.25132158e-11 9.37603824e-01]",50000,10,50,2000,0.2633157751067621,0.5793310039859593
lar3-fs-[0:5]-[7:9],4,0.8333333333333334,"[3.48443359e-74 9.75418306e-64 8.29205851e-67 1.01349969e-70
 1.73625212e-58 9.97677555e-01 9.98972686e-01 9.94127148e-01
 9.94127323e-01 9.91504427e-01]",0.6666666666666666,"[3.81029716e-01 6.58247574e-01 4.76827405e-01 6.74272941e-02
 4.78268397e-02 5.42059617e-02 3.96154437e-01 1.44859357e-06
 1.57193272e-17 9.21067399e-01]",50000,10,50,1000,0.23163409653248454,0.24153456346727997
lar3-fs-[0:5]-[7:9],5,0.8333333333333334,"[2.61621569e-77 1.35942141e-59 8.13541590e-74 1.71549918e-76
 2.00886631e-68 9.73580635e-01 9.91420390e-01 8.99482609e-01
 9.99514073e-01 9.99871313e-01]",0.6666666666666666,"[9.72772677e-01 4.68472718e-01 3.89421468e-01 9.49715012e-01
 9.25683166e-01 9.98852982e-01 8.07772119e-01 1.23160995e-19
 2.56128543e-06 9.78806510e-01]",50000,10,50,2000,0.23889189432412056,0.5046898276326273
lar3-fs-[0:5]-[7:9],6,0.8333333333333334,"[6.46906453e-67 1.26664470e-81 2.61888600e-82 1.07836088e-85
 2.08561277e-61 9.88322461e-01 9.79707136e-01 9.99958461e-01
 5.54923789e-01 9.98378456e-01]",0.6666666666666666,"[9.32382933e-01 1.04205533e-01 9.96655961e-01 8.99975542e-01
 5.55411183e-01 4.74923879e-01 9.58971639e-01 1.11413138e-06
 3.79921419e-11 9.97617231e-01]",50000,10,50,500,0.2587610267630735,0.18686759050697344
lar3-fs-[0:5]-[7:9],7,0.8333333333333334,"[3.40075579e-71 1.83921032e-62 3.04538307e-80 8.31717377e-68
 7.42693390e-63 9.99849789e-01 9.99669680e-01 9.99533431e-01
 9.99571037e-01 9.99999958e-01]",0.6666666666666666,"[6.54106450e-01 1.85473600e-01 2.28584397e-01 1.11391149e-01
 4.25863174e-01 8.27010412e-01 5.15027097e-01 4.59599896e-10
 2.13747888e-10 7.85558617e-01]",50000,10,50,1000,0.2564105604390075,0.2145391755365091
lar3-fs-[0:5]-[7:9],8,0.8333333333333334,"[1.75938806e-61 4.16449701e-64 1.17909639e-66 4.07262448e-61
 4.07353095e-74 9.95095124e-01 9.99693025e-01 9.93917811e-01
 9.99505891e-01 9.99970249e-01]",0.6666666666666666,"[7.02441217e-01 3.13273285e-01 7.74323532e-01 3.57076940e-02
 5.49667353e-01 9.82902487e-01 9.88414485e-01 3.74223309e-12
 2.06192894e-13 8.25005229e-01]",50000,10,50,1000,0.24109645983080744,0.26271255014193984
lar3-fs-[0:5]-[7:9],9,0.8333333333333334,"[1.99008394e-69 5.99509139e-69 1.35624924e-82 1.81360401e-76
 2.89794497e-71 9.99984970e-01 9.99995309e-01 9.99496745e-01
 9.98491910e-01 9.99968590e-01]",0.6666666666666666,"[8.90116908e-01 6.09623494e-01 3.71110480e-01 3.15621073e-01
 4.02529307e-01 9.95429958e-01 5.41890468e-01 1.44658147e-11
 4.88952777e-11 9.92871356e-01]",50000,10,50,500,0.24811780020355073,0.2026509683107916
