DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
lar2-no-fs-[]-[0:7],0,0.0,,0.7,,5000,10,1000,500,0.020700323951884075,13.037213883763668
lar2-no-fs-[]-[0:7],1,0.0,,0.7,,5000,10,1000,500,0.011404785974207823,12.23389830977372
lar2-no-fs-[]-[0:7],2,0.0,,0.7,,5000,10,1000,50,0.00739635844250742,20.63671502817737
lar2-no-fs-[]-[0:7],3,0.0,,0.7,,5000,10,200,500,0.10633504725585995,11.313538630315604
lar2-no-fs-[]-[0:7],4,0.0,,0.7,,5000,10,1000,500,0.00549104634098322,15.115700044731371
lar2-no-fs-[]-[0:7],5,0.0,,0.7,,5000,10,1000,200,0.03848059064465355,9.526145793617127
lar2-no-fs-[]-[0:7],6,0.0,,0.7,,5000,10,500,500,0.03548375463668623,11.466216895991273
lar2-no-fs-[]-[0:7],7,0.0,,0.7,,5000,10,1000,500,0.02347894426109461,11.841131489245102
lar2-no-fs-[]-[0:7],8,0.0,,0.7,,5000,10,200,200,0.11582978182203074,12.301978732604738
lar2-no-fs-[]-[0:7],9,0.0,,0.7,,5000,10,1000,500,0.025076297560183203,17.764245504657982
lar2-no-fs-[]-[0:7],10,0.0,,0.7,,5000,10,500,500,0.026269063174768507,11.71092082077819
lar2-no-fs-[]-[0:7],11,0.0,,0.7,,5000,10,2000,20,0.0025099207548409893,34.51533881973312
lar2-no-fs-[]-[0:7],12,0.0,,0.7,,5000,10,1000,500,0.0255470018264916,15.994403244385245
lar2-no-fs-[]-[0:7],13,0.0,,0.7,,5000,10,1000,500,0.004970725817538345,13.971274452338571
lar2-no-fs-[]-[0:7],14,0.0,,0.7,,5000,10,200,500,0.1310480528635518,13.774788359900231
lar2-no-fs-[]-[0:7],15,0.0,,0.7,,5000,10,500,1000,0.019477190808734546,17.030332096471128
lar2-no-fs-[]-[0:7],16,0.0,,0.7,,5000,10,100,500,0.1600281682251021,11.530668614173232
lar2-no-fs-[]-[0:7],17,0.0,,0.7,,5000,10,500,500,0.029323749858480675,15.581571579200006
lar2-no-fs-[]-[0:7],18,0.0,,0.7,,5000,10,1000,500,0.009259659840378034,11.401578290104883
lar2-no-fs-[]-[0:7],19,0.0,,0.7,,5000,10,1000,500,0.013250024337271552,13.059363418488388
lar2-no-fs-[]-[0:7],20,0.0,,0.7,,5000,10,1000,500,0.014630087162501021,14.406717925448035
lar2-no-fs-[]-[0:7],21,0.0,,0.7,,5000,10,500,500,0.04938677132053869,11.204800275472733
lar2-no-fs-[]-[0:7],22,0.0,,0.7,,5000,10,1000,500,0.013476785518293564,11.627163676196632
lar2-no-fs-[]-[0:7],23,0.0,,0.7,,5000,10,1000,200,0.0033559542074586496,8.937245063281825
lar2-no-fs-[]-[0:7],24,0.0,,0.7,,5000,10,1000,200,0.0255803523172087,12.94534109018801
lar2-no-fs-[]-[0:7],25,0.0,,0.7,,5000,10,2000,500,0.002644091053455482,11.637824610010343
lar2-no-fs-[]-[0:7],26,0.0,,0.7,,5000,10,2000,500,0.0204945254183634,12.438862466571862
lar2-no-fs-[]-[0:7],27,0.0,,0.7,,5000,10,500,500,0.03412904390118398,10.761917733274952
lar2-no-fs-[]-[0:7],28,0.0,,0.7,,5000,10,1000,200,0.007422707643800212,10.165796914256443
lar2-no-fs-[]-[0:7],29,0.0,,0.7,,5000,10,1000,500,0.01336714223457788,13.946306315215287
lar2-no-fs-[]-[0:7],30,0.0,,0.7,,5000,10,1000,100,0.005990850366100427,10.599681962604171
lar2-no-fs-[]-[0:7],31,0.0,,0.7,,5000,10,500,500,0.021160584193373584,11.622635451142289
lar2-no-fs-[]-[0:7],32,0.0,,0.7,,5000,10,1000,200,0.02032676442237388,7.029576671754264
lar2-no-fs-[]-[0:7],33,0.0,,0.7,,5000,10,1000,500,0.02934862443194238,11.553289093008347
lar2-no-fs-[]-[0:7],34,0.0,,0.7,,5000,10,1000,200,0.005050493623951432,9.42665355585354
lar2-no-fs-[]-[0:7],35,0.0,,0.7,,5000,10,200,200,0.08330493779195267,11.251140395260219
lar2-no-fs-[]-[0:7],36,0.0,,0.7,,5000,10,1000,500,0.004139401513472134,13.974043434238471
lar2-no-fs-[]-[0:7],37,0.0,,0.7,,5000,10,1000,500,0.003246618421737982,14.579161492161237
lar2-no-fs-[]-[0:7],38,0.0,,0.7,,5000,10,500,500,0.041211142429501066,13.0950583505571
lar2-no-fs-[]-[0:7],39,0.0,,0.7,,5000,10,500,500,0.07087707625810549,14.135607369655656
lar2-no-fs-[]-[0:7],40,0.0,,0.7,,5000,10,1000,500,0.010828818572526532,18.351983786050024
lar2-no-fs-[]-[0:7],41,0.0,,0.7,,5000,10,200,100,0.07858149214793418,15.644092033615266
lar2-no-fs-[]-[0:7],42,0.0,,0.7,,5000,10,200,1000,0.10118644187174584,44.67762038664149
lar2-no-fs-[]-[0:7],43,0.0,,0.7,,5000,10,500,100,0.0322389642523761,12.193881542662819
lar2-no-fs-[]-[0:7],44,0.0,,0.7,,5000,10,200,100,0.12427469019127715,9.272372871300202
lar2-no-fs-[]-[0:7],45,0.0,,0.7,,5000,10,500,500,0.02970549163726091,11.868225357969946
lar2-no-fs-[]-[0:7],46,0.0,,0.7,,5000,10,500,500,0.035628439568685596,16.07484663925538
lar2-no-fs-[]-[0:7],47,0.0,,0.7,,5000,10,1000,200,0.05511265640157608,8.240440558019795
lar2-no-fs-[]-[0:7],48,0.0,,0.7,,5000,10,1000,500,0.01912064349951341,14.526351836810058
lar2-no-fs-[]-[0:7],49,0.0,,0.7,,5000,10,1000,500,0.003982194395577343,18.598586000410407
lar2-no-fs-[]-[0:7],50,0.0,,0.7,,5000,10,1000,500,0.01288173114307776,11.468375231436482
lar2-no-fs-[]-[0:7],51,0.0,,0.7,,5000,10,2000,100,0.005376089696273229,10.650386735154612
lar2-no-fs-[]-[0:7],52,0.0,,0.7,,5000,10,500,100,0.028258623113120156,11.324951250870196
lar2-no-fs-[]-[0:7],53,0.0,,0.7,,5000,10,500,100,0.018655964075476077,9.355246449623664
lar2-no-fs-[]-[0:7],54,0.0,,0.7,,5000,10,1000,500,0.05540433304075793,16.823922109350264
lar2-no-fs-[]-[0:7],55,0.0,,0.7,,5000,10,1000,500,0.031067278932450405,11.790643028776568
lar2-no-fs-[]-[0:7],56,0.0,,0.7,,5000,10,1000,500,0.0025260828903649296,11.188724983427461
lar2-no-fs-[]-[0:7],57,0.0,,0.7,,5000,10,200,500,0.08556181697437153,11.025046958300633
lar2-no-fs-[]-[0:7],58,0.0,,0.7,,5000,10,1000,500,0.005183835555758361,12.921522609006951
lar2-no-fs-[]-[0:7],59,0.0,,0.7,,5000,10,500,500,0.026410287060792677,12.105793588785758
lar2-no-fs-[]-[0:7],60,0.0,,0.7,,5000,10,1000,200,0.0023948725702795364,8.356463471740923
lar2-no-fs-[]-[0:7],61,0.0,,0.7,,5000,10,1000,100,0.023347967199931985,11.551240328933368
lar2-no-fs-[]-[0:7],62,0.0,,0.7,,5000,10,1000,500,0.0034668148784108466,15.53315445171994
lar2-no-fs-[]-[0:7],63,0.0,,0.7,,5000,10,500,500,0.022577986950553314,11.880576996930252
lar2-no-fs-[]-[0:7],64,0.0,,0.7,,5000,10,1000,500,0.010744844632199173,12.663734766140932
lar2-no-fs-[]-[0:7],65,0.0,,0.7,,5000,10,1000,200,0.08338378220925181,9.488532284353305
lar2-no-fs-[]-[0:7],66,0.0,,0.7,,5000,10,2000,500,0.05352373979618041,12.643761119972888
lar2-no-fs-[]-[0:7],67,0.0,,0.7,,5000,10,1000,100,0.022775029317885817,7.4189786864193765
lar2-no-fs-[]-[0:7],68,0.0,,0.7,,5000,10,2000,500,0.023098615261485954,13.528413985801354
lar2-no-fs-[]-[0:7],69,0.0,,0.7,,5000,10,1000,500,0.006793249907813754,13.979710540312476
lar2-no-fs-[]-[0:7],70,0.0,,0.7,,5000,10,1000,500,0.00762878304868117,16.039096758888046
lar2-no-fs-[]-[0:7],71,0.0,,0.7,,5000,10,500,500,0.035008899657144966,13.913264918037749
lar2-no-fs-[]-[0:7],72,0.0,,0.7,,5000,10,200,500,0.06998549896237195,11.361768403067076
lar2-no-fs-[]-[0:7],73,0.0,,0.7,,5000,10,1000,500,0.004619810459410087,10.887281155436076
lar2-no-fs-[]-[0:7],74,0.0,,0.7,,5000,10,1000,500,0.02124934529491993,12.747639664181731
lar2-no-fs-[]-[0:7],75,0.0,,0.7,,5000,10,500,500,0.037452586414703816,12.368673386431812
lar2-no-fs-[]-[0:7],76,0.0,,0.7,,5000,10,1000,200,0.013041922510850111,19.474167917158297
lar2-no-fs-[]-[0:7],77,0.0,,0.7,,5000,10,1000,500,0.008675569916868724,13.164338175253635
lar2-no-fs-[]-[0:7],78,0.0,,0.7,,5000,10,1000,500,0.007072016744983281,13.579568043603015
lar2-no-fs-[]-[0:7],79,0.0,,0.7,,5000,10,500,500,0.08862593420709648,12.636801952598868
lar2-no-fs-[]-[0:7],80,0.0,,0.7,,5000,10,1000,500,0.006857229150689712,13.53658108858622
lar2-no-fs-[]-[0:7],81,0.0,,0.7,,5000,10,1000,500,0.009363319853474857,14.597565761136421
lar2-no-fs-[]-[0:7],82,0.0,,0.7,,5000,10,500,200,0.028378372579482333,5.96284245123437
lar2-no-fs-[]-[0:7],83,0.0,,0.7,,5000,10,500,100,0.03974864840534145,8.8556468460282
lar2-no-fs-[]-[0:7],84,0.0,,0.7,,5000,10,1000,500,0.0028121403372153475,11.551961908556452
lar2-no-fs-[]-[0:7],85,0.0,,0.7,,5000,10,200,200,0.12343253479911255,15.419297556664667
lar2-no-fs-[]-[0:7],86,0.0,,0.7,,5000,10,1000,500,0.007649224780179227,12.741031210466318
lar2-no-fs-[]-[0:7],87,0.0,,0.7,,5000,10,1000,500,0.11176747923167195,13.52624059890925
lar2-no-fs-[]-[0:7],88,0.0,,0.7,,5000,10,1000,500,0.006153449478956073,10.77192485093569
lar2-no-fs-[]-[0:7],89,0.0,,0.7,,5000,10,500,100,0.09003159469083764,9.451951044683327
lar2-no-fs-[]-[0:7],90,0.0,,0.7,,5000,10,500,500,0.019018251466879826,12.685770847802202
lar2-no-fs-[]-[0:7],91,0.0,,0.7,,5000,10,1000,100,0.03218255648115589,10.28446891877635
lar2-no-fs-[]-[0:7],92,0.0,,0.7,,5000,10,1000,500,0.006167467423267777,13.768090126688735
lar2-no-fs-[]-[0:7],93,0.0,,0.7,,5000,10,1000,500,0.009172415721526526,15.107064854842855
lar2-no-fs-[]-[0:7],94,0.0,,0.7,,5000,10,1000,500,0.004126538169821355,13.40808035338319
lar2-no-fs-[]-[0:7],95,0.0,,0.7,,5000,10,1000,500,0.0043020570640608215,22.421190954769774
lar2-no-fs-[]-[0:7],96,0.0,,0.7,,5000,10,1000,100,0.005304372162838328,6.699524227971592
lar2-no-fs-[]-[0:7],97,0.0,,0.7,,5000,10,1000,1000,0.0029153264371689106,26.031054735585332
lar2-no-fs-[]-[0:7],98,0.0,,0.7,,5000,10,1000,500,0.01157682253702182,12.690026402157022
lar2-no-fs-[]-[0:7],99,0.0,,0.7,,5000,10,500,100,0.02711328324152963,12.448788123642599
lar2-no-fs-[]-[0:7],100,0.0,,0.7,,5000,10,500,500,0.06093797199160949,11.939822144863944
lar2-no-fs-[]-[0:7],101,0.0,,0.7,,5000,10,2000,500,0.0002445047781988667,11.601483857941075
lar2-no-fs-[]-[0:7],102,0.0,,0.7,,5000,10,1000,500,0.046246264814171656,11.79730232935917
lar2-no-fs-[]-[0:7],103,0.0,,0.7,,5000,10,500,1000,0.055112718386152934,29.17028891503898
lar2-no-fs-[]-[0:7],104,0.0,,0.7,,5000,10,100,20,0.1995912016865744,27.671445515728333
lar2-no-fs-[]-[0:7],105,0.0,,0.7,,5000,10,200,500,0.07834024680708396,13.733202138525474
lar2-no-fs-[]-[0:7],106,0.0,,0.7,,5000,10,1000,500,0.021769484567678604,14.07623681845752
lar2-no-fs-[]-[0:7],107,0.0,,0.7,,5000,10,1000,200,0.00846162703342313,7.376791157072275
lar2-no-fs-[]-[0:7],108,0.0,,0.7,,5000,10,1000,50,0.028302274248156924,15.873358307307086
lar2-no-fs-[]-[0:7],109,0.0,,0.7,,5000,10,1000,500,0.005254886277159966,11.160282860151632
