DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
lar4-fs-[0:3]-[5:9],1,0.75,"[1.12103338e-07 1.57566496e-08 1.04065422e-05 9.40734192e-01
 4.17136995e-01 6.94404130e-01 3.00080410e-01 5.14676456e-01
 8.79089513e-01 7.07080253e-01 2.12938697e-01 4.23548189e-01
 9.00907136e-01 7.13326149e-01 8.62620520e-01 9.99383666e-01
 8.19083718e-01 3.71315532e-01 3.56475421e-01 3.52102514e-01
 8.25483932e-01 5.55815868e-01 9.09543579e-01 3.20247032e-01
 5.99356359e-01]",0.0,"[8.34373490e-01 3.89460354e-04 5.43787177e-01 7.41353048e-01
 9.73546164e-01 7.73892866e-01 7.13653577e-03 3.69068216e-02
 5.91529055e-01 9.25455115e-01 4.72041711e-01 7.28551783e-01
 4.32740577e-01 8.60602659e-01 9.76959437e-01 2.43624395e-01
 3.53247627e-01 9.60509583e-01 7.82387486e-01 9.95455669e-01
 1.75687462e-01 4.97348220e-01 9.81228467e-01 8.08470064e-01
 7.54762308e-01]",5000,25,100,200,0.27474221920014136,9.387151493970116
lar4-fs-[0:3]-[5:9],2,0.75,"[1.05545205e-04 2.15638726e-04 9.71433688e-05 7.41757881e-01
 3.36554780e-01 4.97739867e-01 9.29689223e-01 9.76960761e-01
 7.98162151e-01 4.15474665e-01 8.64378002e-01 5.22840481e-01
 4.77526140e-01 6.88986012e-01 9.10783275e-01 6.41346953e-01
 5.78507295e-01 6.26938752e-01 9.43178565e-01 7.13752304e-01
 9.04725020e-01 8.72618315e-01 4.57445057e-01 9.33062370e-01
 8.54367992e-01]",0.2,"[1.71596886e-01 5.61725551e-01 5.92846091e-01 6.73131721e-03
 1.80180636e-02 2.72532089e-02 9.60944512e-05 1.15026412e-01
 8.44484893e-02 6.04234077e-02 5.61681047e-02 6.12209055e-01
 5.37281390e-01 6.33414998e-02 6.11041029e-02 2.62800202e-01
 1.00751968e-04 4.49163612e-01 1.07221196e-01 6.69656354e-01
 6.46098920e-02 3.08810026e-01 1.68284126e-01 3.92591362e-01
 2.18797745e-04]",5000,25,100,100,0.29819908454920013,8.26622585374507
lar4-fs-[0:3]-[5:9],3,0.75,"[5.35343467e-09 1.10692967e-05 4.29346471e-05 2.55326182e-01
 3.14887240e-01 3.62209250e-01 5.38026294e-01 1.90782643e-01
 3.59796583e-01 1.83685944e-01 3.51181657e-01 8.32149183e-01
 6.69320491e-01 6.62372182e-01 9.50995914e-01 1.97663735e-01
 9.76527787e-01 9.08011108e-01 2.10208042e-01 5.43127541e-01
 2.00888098e-01 1.07464813e-01 4.20395770e-01 9.32933634e-01
 5.78756881e-01]",0.2,"[0.7381605  0.39429902 0.65758855 0.68279029 0.26107597 0.45905612
 0.16016662 0.42245051 0.05344296 0.25023715 0.44988321 0.32572272
 0.94478249 0.52965894 0.524767   0.57289017 0.4743904  0.14709285
 0.20410965 0.06710667 0.13913347 0.88380721 0.68184935 0.92196971
 0.69002857]",5000,25,50,500,0.36906600099573955,7.4225170691213105
lar4-fs-[0:3]-[5:9],4,0.75,"[9.98177252e-07 8.28489525e-08 1.32693598e-04 4.99392557e-01
 9.10370643e-01 2.81892789e-01 8.56953183e-01 9.14638507e-01
 8.66278723e-01 9.46716850e-01 9.70226582e-01 9.27666662e-01
 9.14896620e-01 8.87775934e-01 8.25836416e-01 9.77773545e-01
 3.98329589e-01 6.07143600e-01 6.10186177e-01 7.03509709e-01
 7.29407647e-01 8.04044671e-01 9.06430310e-01 9.24995496e-01
 6.65819871e-01]",0.2,"[2.51564410e-01 8.16180566e-01 8.11290932e-01 3.85664474e-01
 8.69872228e-01 7.03717836e-01 3.11346984e-02 9.77704801e-01
 4.68034964e-01 1.13907238e-04 2.64555914e-01 9.00505016e-01
 3.39812792e-01 2.37086955e-01 2.83802435e-01 3.83529074e-01
 8.06386636e-01 5.69072785e-01 2.05739533e-01 4.04387183e-01
 9.40698516e-01 3.94083501e-01 3.17240144e-01 9.18072745e-01
 3.40111817e-01]",5000,25,50,500,0.3009799029677606,8.642214119067258
lar4-fs-[0:3]-[5:9],5,0.25,"[1.75903725e-05 2.85969462e-02 1.88845619e-03 9.48481282e-01
 6.58112869e-01 7.60100609e-01 5.83866118e-01 9.68651663e-01
 7.48666931e-01 8.52324383e-01 9.54104116e-01 3.84036454e-01
 4.80616935e-01 9.88195145e-01 8.67117611e-01 9.33851137e-01
 9.53790500e-01 6.98683498e-01 6.47383897e-01 9.40409990e-01
 5.97859982e-01 9.71986932e-01 9.45102015e-01 9.11943522e-01
 7.22531871e-01]",0.0,"[4.21896668e-03 1.13123404e-02 9.89252599e-03 2.43254635e-01
 5.12581547e-02 7.90811383e-03 1.94801041e-01 5.06969048e-02
 2.40555382e-01 7.46465891e-03 7.84587454e-02 1.40793075e-01
 3.82892545e-01 2.04939450e-02 2.43908237e-01 9.43087501e-01
 3.78661669e-01 9.78777397e-01 5.57906298e-03 1.60375616e-01
 5.59619246e-03 1.71091772e-05 4.79402934e-02 2.84718010e-02
 1.82462418e-01]",5000,25,500,500,4.44815217401048,32.43533456384545
lar4-fs-[0:3]-[5:9],6,0.75,"[1.14600247e-06 1.44514967e-05 1.55680093e-05 6.83625362e-01
 4.50628392e-01 7.89477630e-01 2.60083222e-01 3.68160496e-01
 7.89930420e-01 9.15980611e-01 9.12848992e-01 7.75877536e-01
 6.89085796e-01 6.52960074e-01 7.55871933e-01 4.52307774e-01
 8.75867101e-01 9.38956970e-01 2.88692483e-01 7.85223574e-01
 7.14533577e-01 9.80610736e-01 7.66960753e-01 6.63513850e-01
 4.46199242e-01]",0.2,"[0.68058015 0.95454073 0.65246329 0.38651474 0.5452571  0.4239317
 0.04144225 0.62491589 0.71749341 0.45858626 0.62406828 0.99626197
 0.21148763 0.70007651 0.93730101 0.27164664 0.94186011 0.59898549
 0.89618043 0.59050369 0.89834346 0.39454079 0.16380057 0.46422705
 0.33159347]",5000,25,50,500,0.22419597425941748,8.310696759439592
lar4-fs-[0:3]-[5:9],7,0.75,"[4.45078482e-10 3.94960117e-08 1.87893938e-04 8.62404471e-01
 9.89468385e-01 8.04833613e-01 8.82490869e-01 5.29273807e-01
 9.14190831e-01 9.90845237e-01 8.54901847e-01 9.53338339e-01
 8.37832327e-01 9.70052550e-01 9.14192001e-01 9.27753654e-01
 8.48368985e-01 6.52420969e-01 9.98779311e-01 9.99958864e-01
 8.88876471e-01 9.75997773e-01 7.88042381e-01 7.79677086e-01
 9.81015704e-01]",0.2,"[0.75857781 0.93437796 0.57146898 0.63815622 0.35921519 0.98346223
 0.39636271 0.45355979 0.18015213 0.99349777 0.97649331 0.19628931
 0.93898651 0.6386787  0.39662115 0.76100159 0.71944145 0.22767379
 0.68866572 0.53720269 0.17603679 0.92561322 0.53846115 0.78260891
 0.30533834]",5000,25,50,500,0.34562288483964715,7.553053329824217
lar4-fs-[0:3]-[5:9],8,0.5,"[4.93414772e-04 6.22778312e-05 2.30723888e-04 7.46521934e-01
 1.48898199e-01 4.31801631e-01 2.60857782e-01 1.75979980e-01
 5.56920592e-01 3.96071795e-01 5.73696282e-01 4.27713417e-01
 2.02314330e-01 6.73722279e-01 7.56693371e-02 1.50526028e-01
 1.51906853e-01 2.99421135e-01 6.09793863e-02 4.55043136e-01
 6.53580290e-01 2.16092266e-01 3.78571494e-01 6.28871697e-01
 4.43894208e-01]",0.2,"[0.00228682 0.17373407 0.42247847 0.01655719 0.09608867 0.65719607
 0.33454086 0.47565558 0.49265388 0.15051685 0.78249846 0.4878217
 0.97756519 0.20339246 0.13546617 0.54434457 0.20341198 0.8318533
 0.56981097 0.44061689 0.14889953 0.10353686 0.62046983 0.01252053
 0.69762065]",5000,25,100,200,2.2199445236006037,15.322294081372762
lar4-fs-[0:3]-[5:9],9,0.5,"[1.82370175e-07 1.14950895e-02 7.92667044e-06 8.63201056e-01
 8.93471051e-01 7.74483237e-01 4.20091267e-01 4.43534679e-01
 9.53286551e-01 7.63837396e-02 6.93970382e-01 3.85142875e-01
 1.17106899e-01 9.89885581e-01 4.99093974e-01 9.97110623e-01
 7.89577562e-01 2.45223180e-01 8.29728576e-01 5.76999129e-01
 2.19418170e-01 7.58506648e-01 5.77195495e-01 3.62798910e-01
 6.16218605e-01]",0.2,"[0.82912254 0.06946613 0.1275209  0.84379864 0.36754965 0.89441376
 0.85562451 0.45612867 0.65207667 0.99117257 0.99671351 0.57497376
 0.98307151 0.41206124 0.9972367  0.97401556 0.84297653 0.34110652
 0.92859567 0.51942368 0.76315409 0.86419894 0.64002022 0.04171784
 0.98664032]",5000,25,100,500,2.2948979276069768,13.621092446956743
lar4-fs-[0:3]-[5:9],0,0.5,"[1.17864148e-07 1.76781639e-05 2.03975942e-04 8.55900009e-02
 7.88706590e-02 6.39327124e-01 2.16678543e-01 1.05315536e-01
 5.61664943e-01 8.07869207e-02 1.64791699e-01 6.63390122e-01
 3.47979364e-01 1.46815251e-01 7.61279153e-01 1.75808339e-01
 1.53506250e-01 9.65774846e-01 7.68795604e-01 5.11509329e-01
 4.77451332e-01 8.53213636e-01 2.10161649e-01 6.20553542e-01
 2.20899592e-01 6.42881928e-01 4.49638952e-01 8.29401780e-01
 3.04244971e-01 8.41967898e-01 1.93574231e-01 7.37950913e-01
 7.62540413e-01 5.03640791e-01 2.97596457e-01 1.11270134e-01
 3.39104109e-01 3.48070974e-02 5.58224890e-01 8.91616468e-01
 2.81520528e-01 3.47725488e-01 1.47249824e-05 1.56363241e-01
 7.07501683e-01 1.83617207e-01 4.40583977e-01 1.62354282e-01
 5.46756818e-01 4.74501687e-01]",0.0,"[5.56115596e-04 8.43104702e-01 1.81212458e-05 2.83335182e-01
 3.43547160e-02 4.97980492e-03 2.92472585e-02 5.39979918e-02
 1.75954276e-01 3.10461519e-02 4.05746216e-01 1.51357747e-01
 6.52320744e-01 3.05080833e-02 1.04519016e-01 1.95515772e-01
 9.53558080e-01 5.14926658e-01 7.96715092e-01 4.16401968e-01
 2.19108856e-02 2.96268724e-01 9.30732765e-02 6.80147243e-01
 2.46203783e-01 1.50418121e-02 9.32529493e-01 1.93444983e-02
 6.76210078e-01 5.98558686e-02 2.09450854e-01 9.27288574e-01
 9.96809316e-01 1.73514722e-01 1.26926659e-01 8.01383387e-01
 1.98657997e-02 6.40078375e-01 9.32823760e-01 1.53145008e-04
 9.12911995e-01 4.20343970e-01 5.70295198e-03 6.14058804e-01
 1.65320229e-01 6.38657675e-01 2.71874930e-01 6.33553722e-01
 7.82378408e-01 2.62361634e-01]",5000,50,100,500,2.339648290789288,9.4946950000238
